epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,115.076,1.71608,0.39307,0.96277,1.53955,8e-05,8e-05,8e-05
2,189.76,1.29734,0.63723,0.98442,1.01611,0.000168317,0.000168317,0.000168317
3,283.406,0.91006,0.72035,0.99134,0.77344,0.000254852,0.000254852,0.000254852
4,354.204,0.68627,0.75584,0.99913,0.66089,0.000339605,0.000339605,0.000339605
5,440.244,0.5523,0.79827,1,0.50879,0.000422576,0.000422576,0.000422576
6,511.128,0.46377,0.81991,1,0.6189,0.000503765,0.000503765,0.000503765
7,596.256,0.3846,0.82251,1,0.48132,0.000583172,0.000583172,0.000583172
8,669.517,0.32603,0.85281,1,0.46899,0.000660797,0.000660797,0.000660797
9,751.503,0.28259,0.85974,1,0.35437,0.00073664,0.00073664,0.00073664
10,821.314,0.24954,0.87619,1,0.37866,0.000810701,0.000810701,0.000810701
11,903.611,0.22221,0.91255,1,0.22937,0.00088298,0.00088298,0.00088298
12,975.463,0.19368,0.91688,1,0.38116,0.0008911,0.0008911,0.0008911
13,1060.68,0.19474,0.91342,1,0.26978,0.0008812,0.0008812,0.0008812
14,1131.1,0.18018,0.9316,1,0.32812,0.0008713,0.0008713,0.0008713
15,1215.12,0.14765,0.9013,1,0.2854,0.0008614,0.0008614,0.0008614
16,1283.1,0.12618,0.91082,1,0.32104,0.0008515,0.0008515,0.0008515
17,1366.92,0.1435,0.9342,1,0.24158,0.0008416,0.0008416,0.0008416
18,1433.71,0.12837,0.92554,1,0.30865,0.0008317,0.0008317,0.0008317
19,1518.1,0.12826,0.94545,1,0.18994,0.0008218,0.0008218,0.0008218
20,1586.6,0.11303,0.93506,1,0.25897,0.0008119,0.0008119,0.0008119
21,1671.56,0.1053,0.94545,0.99913,0.21747,0.000802,0.000802,0.000802
22,1736.49,0.10595,0.94545,1,0.20544,0.0007921,0.0007921,0.0007921
23,1824.13,0.10193,0.95584,1,0.15869,0.0007822,0.0007822,0.0007822
24,1898.13,0.07918,0.95065,1,0.22266,0.0007723,0.0007723,0.0007723
25,1983.1,0.08202,0.95931,1,0.19452,0.0007624,0.0007624,0.0007624
26,2052.47,0.07939,0.95844,1,0.20392,0.0007525,0.0007525,0.0007525
27,2137.39,0.08416,0.96017,0.99913,0.17853,0.0007426,0.0007426,0.0007426
28,2207.43,0.08952,0.95325,0.99827,0.28918,0.0007327,0.0007327,0.0007327
29,2290.36,0.07946,0.95411,0.99913,0.14975,0.0007228,0.0007228,0.0007228
30,2362.93,0.07498,0.95671,0.99913,0.14935,0.0007129,0.0007129,0.0007129
31,2445.46,0.06914,0.97056,0.99913,0.1438,0.000703,0.000703,0.000703
32,2515.86,0.06987,0.96623,1,0.11417,0.0006931,0.0006931,0.0006931
33,2603.32,0.06463,0.96623,1,0.18518,0.0006832,0.0006832,0.0006832
34,2675.14,0.06346,0.96277,1,0.14413,0.0006733,0.0006733,0.0006733
35,2758.52,0.06634,0.96364,1,0.2262,0.0006634,0.0006634,0.0006634
36,2830.23,0.06113,0.9645,1,0.12891,0.0006535,0.0006535,0.0006535
37,2913.95,0.05315,0.96537,0.99827,0.13037,0.0006436,0.0006436,0.0006436
38,2984.67,0.05731,0.97316,1,0.12527,0.0006337,0.0006337,0.0006337
39,3073.51,0.06133,0.9619,1,0.10349,0.0006238,0.0006238,0.0006238
40,3139.92,0.0531,0.9645,1,0.11948,0.0006139,0.0006139,0.0006139
41,3230.2,0.05391,0.96623,1,0.15381,0.000604,0.000604,0.000604
42,3309.85,0.04978,0.9619,1,0.13843,0.0005941,0.0005941,0.0005941
43,3402.87,0.04194,0.9645,1,0.17804,0.0005842,0.0005842,0.0005842
44,3476.62,0.0434,0.9671,1,0.10309,0.0005743,0.0005743,0.0005743
45,3564.18,0.04446,0.96797,1,0.13861,0.0005644,0.0005644,0.0005644
46,3644.45,0.05618,0.96623,1,0.17078,0.0005545,0.0005545,0.0005545
47,3742.74,0.03915,0.95844,1,0.12509,0.0005446,0.0005446,0.0005446
48,3816.75,0.04271,0.96623,1,0.18256,0.0005347,0.0005347,0.0005347
49,3902.91,0.0354,0.97489,0.99913,0.10568,0.0005248,0.0005248,0.0005248
50,3977.8,0.03574,0.96883,1,0.10757,0.0005149,0.0005149,0.0005149
51,4067.4,0.04189,0.96537,1,0.1698,0.000505,0.000505,0.000505
52,4140.37,0.03519,0.9697,1,0.09435,0.0004951,0.0004951,0.0004951
53,4230.37,0.04373,0.97143,1,0.09007,0.0004852,0.0004852,0.0004852
54,4302.65,0.03742,0.96623,0.99913,0.1582,0.0004753,0.0004753,0.0004753
55,4389.44,0.04421,0.96623,0.99913,0.30347,0.0004654,0.0004654,0.0004654
56,4463.39,0.03274,0.9697,0.99913,0.16107,0.0004555,0.0004555,0.0004555
57,4548.9,0.03599,0.96277,1,0.17316,0.0004456,0.0004456,0.0004456
58,4622.2,0.03372,0.96277,0.99913,0.13516,0.0004357,0.0004357,0.0004357
59,4713.49,0.03368,0.95844,1,0.17847,0.0004258,0.0004258,0.0004258
60,4790.96,0.03378,0.9619,0.99913,0.10275,0.0004159,0.0004159,0.0004159
61,4876.43,0.02643,0.96537,1,0.11279,0.000406,0.000406,0.000406
62,4948.8,0.02611,0.96537,0.99913,0.1333,0.0003961,0.0003961,0.0003961
63,5035.55,0.02275,0.96623,0.99913,0.13693,0.0003862,0.0003862,0.0003862
